Engine;NewAltaThreshold;Tot;OK;KO;PercentOK;WilsonLower95;TotNoAU;OKNoAU;KONoAU;PercentOKNoAU;WilsonLower95NoAU
v25def;63.00;1475;1015;460;68.81;66.40;1168;802;366;68.66;65.95
v25def;64.00;1403;972;431;69.28;66.82;1105;766;339;69.32;66.54
v25def;65.00;1344;930;414;69.20;66.68;1059;734;325;69.31;66.47
v25def;66.00;1276;889;387;69.67;67.09;1005;700;305;69.65;66.74
v25def;67.00;1214;849;365;69.93;67.30;957;670;287;70.01;67.03
v25def;68.00;1141;796;345;69.76;67.04;899;625;274;69.52;66.43
v25def;69.00;1080;762;318;70.56;67.77;851;601;250;70.62;67.48
v25def;70.00;1019;721;298;70.76;67.89;803;566;237;70.49;67.24
v25def;71.00;951;680;271;71.50;68.55;748;533;215;71.26;67.91
v25def;72.00;886;639;247;72.12;69.08;692;496;196;71.68;68.21
v25def;73.00;828;600;228;72.46;69.32;643;465;178;72.32;68.73
v25def;74.00;768;562;206;73.18;69.93;594;431;163;72.56;68.83
v25def;75.00;712;524;188;73.60;70.24;550;401;149;72.91;69.05
v25def;76.00;645;478;167;74.11;70.59;504;371;133;73.61;69.60
v25def;77.00;585;438;147;74.87;71.20;456;339;117;74.34;70.14
v25def;78.00;535;400;135;74.77;70.92;419;313;106;74.70;70.33
v25def;79.00;474;354;120;74.68;70.58;373;279;94;74.80;70.16
v25def;80.00;425;320;105;75.29;70.98;339;254;85;74.93;70.05
v25def;81.00;375;283;92;75.47;70.87;306;231;75;75.49;70.37
v25def;82.00;345;260;85;75.36;70.55;283;213;70;75.27;69.92
v25def;83.00;294;221;73;75.17;69.93;243;184;59;75.72;69.96
v25def;84.00;254;188;66;74.02;68.29;214;160;54;74.77;68.55
v25def;85.00;216;159;57;73.61;67.36;185;139;46;75.14;68.44
v25def;86.00;194;143;51;73.71;67.10;169;126;43;74.56;67.49
v25def;87.00;171;126;45;73.68;66.62;151;111;40;73.51;65.95
v25def;88.00;150;110;40;73.33;65.74;135;98;37;72.59;64.52
v25def;89.00;129;95;34;73.64;65.44;116;84;32;72.41;63.66
v25def;90.00;102;75;27;73.53;64.23;92;66;26;71.74;61.81
v25def;91.00;78;55;23;70.51;59.62;71;48;23;67.61;56.06
v25def;92.00;61;44;17;72.13;59.83;56;39;17;69.64;56.66
v25def;93.00;47;35;12;74.47;60.49;44;32;12;72.73;58.15
v25def;94.00;38;28;10;73.68;57.99;35;25;10;71.43;54.94
v25def;95.00;31;22;9;70.97;53.41;29;20;9;68.97;50.77
v25def;96.00;21;16;5;76.19;54.91;20;15;5;75.00;53.13
v25def;97.00;14;10;4;71.43;45.35;14;10;4;71.43;45.35
v25def;98.00;8;5;3;62.50;30.57;8;5;3;62.50;30.57
v25def;99.00;3;3;0;100.00;43.85;3;3;0;100.00;43.85
v25def;100.00;2;2;0;100.00;34.24;2;2;0;100.00;34.24
