Rule;N;GOAL;NO_GOAL;BTTSRate;CoveragePct;LiftVsBaseline
MinOverFull>=0.7 AND MinGAFull>=1.2;1264;879;385;69.54;14.62;8.82
MinGFL8>=1.8 AND MinOverL5>=0.7;604;420;184;69.54;6.99;8.82
MinGFL8>=1.8 AND MinOverL5>=0.8;604;420;184;69.54;6.99;8.82
MinOverFull>=0.7 AND MinGAL7>=1.4;1060;737;323;69.53;12.26;8.81
MinOverL5>=0.7 AND MinGFL8>=1.4;1040;723;317;69.52;12.03;8.8
MinOverL5>=0.8 AND MinGFL8>=1.4;1040;723;317;69.52;12.03;8.8
MinOverFull>=0.7 AND MinGFL5>=1.6;863;600;263;69.52;9.98;8.81
MinBTTSFull>=0.7 AND MinGAFull>=1.4;620;431;189;69.52;7.17;8.8
AvgBTTSFull>=0.8 AND MinOverL5>=0.5;479;333;146;69.52;5.54;8.8
AvgBTTSFull>=0.8 AND MinOverL5>=0.6;479;333;146;69.52;5.54;8.8
MinGFFull>=1.8 AND AvgBTTSL8>=0.8;328;228;100;69.51;3.79;8.79
MinOverFull>=0.7 AND MinGFL5>=1.4;1036;720;316;69.5;11.99;8.78
MinOverL7>=0.8 AND AvgBTTSL8>=0.7;505;351;154;69.5;5.84;8.79
AvgBTTSFull>=0.8 AND MinGAL7>=1.4;423;294;129;69.5;4.89;8.78
AvgBTTSFull>=0.8 AND AvgGAL5>=1.6;462;321;141;69.48;5.35;8.76
MinGFL7>=1.4 AND MinGAL5>=1.4;1477;1026;451;69.47;17.09;8.75
MinOverFull>=0.7 AND MinGFL7>=1.6;786;546;240;69.47;9.09;8.75
MinBTTSFull>=0.7 AND MinGAL7>=1.2;678;471;207;69.47;7.84;8.75
MinBTTSFull>=0.7 AND AvgGAL8>=1.6;665;462;203;69.47;7.69;8.75
MinOverL8>=0.8 AND MinGAL7>=1.0;570;396;174;69.47;6.59;8.75
AvgBTTSFull>=0.8 AND AvgGAFull>=1.6;475;330;145;69.47;5.5;8.75
AvgBTTSFull>=0.8 AND MinGFL5>=1.2;475;330;145;69.47;5.5;8.75
MinGFFull>=1.8 AND MinOverL7>=0.7;776;539;237;69.46;8.98;8.74
MinOverL8>=0.8 AND AvgBTTSL5>=0.6;573;398;175;69.46;6.63;8.74
MinGFL7>=1.6 AND MinGAFull>=1.4;861;598;263;69.45;9.96;8.73
MinBTTSFull>=0.7 AND MinOverFull>=0.6;671;466;205;69.45;7.76;8.73
MinGFL7>=1.6 AND MinGAL7>=1.2;1116;775;341;69.44;12.91;8.72
MinGFFull>=1.8 AND MinOverFull>=0.6;1093;759;334;69.44;12.65;8.72
MinGFFull>=1.8 AND AvgBTTSFull>=0.7;674;468;206;69.44;7.8;8.72
MinOverL7>=0.8 AND MinGAL5>=1.4;592;411;181;69.43;6.85;8.71
MinBTTSFull>=0.8 AND MinOverL5>=0.7;157;109;48;69.43;1.82;8.71
MinBTTSFull>=0.8 AND MinOverL5>=0.8;157;109;48;69.43;1.82;8.71
MinBTTSFull>=0.8 AND MinGFL8>=1.2;242;168;74;69.42;2.8;8.7
MinGFL7>=1.6 AND AvgGAL7>=1.6;1072;744;328;69.4;12.4;8.68
MinOverFull>=0.7 AND MinGAL5>=1.4;1049;728;321;69.4;12.14;8.68
MinOverL7>=0.8 AND AvgBTTSL7>=0.8;268;186;82;69.4;3.1;8.68
MinBTTSL8>=0.8 AND MinGFL5>=1.8;147;102;45;69.39;1.7;8.67
MinGFL8>=1.6 AND AvgGAL5>=1.6;1290;895;395;69.38;14.93;8.66
MinBTTSFull>=0.7 AND MinOverL7>=0.5;725;503;222;69.38;8.39;8.66
MinOverL8>=0.8 AND MinGFFull>=1.2;516;358;158;69.38;5.97;8.66
MinGAL7>=1.4 AND MinGFFull>=1.4;1482;1028;454;69.37;17.15;8.65
MinOverFull>=0.7 AND AvgBTTSFull>=0.6;1283;890;393;69.37;14.84;8.65
MinGFL5>=1.8 AND AvgGAL8>=1.4;1159;804;355;69.37;13.41;8.65
MinGFL7>=1.8 AND AvgGAL8>=1.6;790;548;242;69.37;9.14;8.65
MinOverL8>=0.8 AND AvgGAFull>=1.4;568;394;174;69.37;6.57;8.65
MinGFL5>=1.6 AND MinGAL7>=1.4;1090;756;334;69.36;12.61;8.64
MinOverFull>=0.7 AND MinGFL8>=1.4;1028;713;315;69.36;11.89;8.64
MinGFL8>=1.8 AND AvgGAL8>=1.4;976;677;299;69.36;11.29;8.65
AvgBTTSFull>=0.8 AND MinGFL8>=1.8;235;163;72;69.36;2.72;8.64
MinOverFull>=0.7 AND MinBTTSL7>=0.8;235;163;72;69.36;2.72;8.64
MinOverFull>=0.7 AND MinGFL7>=1.4;1054;731;323;69.35;12.19;8.64
MinOverL8>=0.8 AND AvgBTTSFull>=0.7;398;276;122;69.35;4.6;8.63
MinOverL8>=0.8 AND AvgGAL8>=1.4;574;398;176;69.34;6.64;8.62
MinBTTSFull>=0.7 AND MinGAL7>=1.4;600;416;184;69.33;6.94;8.61
AvgBTTSFull>=0.8 AND MinGFL8>=1.2;476;330;146;69.33;5.51;8.61
MinGFL8>=1.6 AND MinGAL8>=1.2;1359;942;417;69.32;15.72;8.6
MinOverL7>=0.8 AND MinGAL8>=1.2;665;461;204;69.32;7.69;8.6
MinGFFull>=1.6 AND MinGAL5>=1.2;1326;919;407;69.31;15.34;8.59
MinOverFull>=0.7 AND AvgBTTSL8>=0.7;782;542;240;69.31;9.05;8.59
MinOverL8>=0.8 AND MinGFL8>=1.6;404;280;124;69.31;4.67;8.59
MinOverL7>=0.8 AND MinBTTSL7>=0.8;189;131;58;69.31;2.19;8.59
MinGFFull>=1.4 AND AvgGAL7>=1.6;1759;1219;540;69.3;20.35;8.58
MinOverFull>=0.7 AND AvgGAL7>=1.4;1345;932;413;69.29;15.56;8.57
AvgBTTSFull>=0.8 AND MinGFL7>=1.8;241;167;74;69.29;2.79;8.57
MinBTTSFull>=0.8 AND MinGFFull>=1.2;241;167;74;69.29;2.79;8.57
MinOverL8>=0.7 AND MinGAL8>=1.4;1123;778;345;69.28;12.99;8.56
MinGFL8>=1.8 AND AvgGAFull>=1.4;970;672;298;69.28;11.22;8.56
MinBTTSFull>=0.7 AND MinGAL8>=1.4;586;406;180;69.28;6.78;8.56
MinGAFull>=1.4 AND MinGFL7>=1.4;1396;967;429;69.27;16.15;8.55
MinGFFull>=1.4 AND MinGAL5>=1.4;1516;1050;466;69.26;17.54;8.54
MinGFL5>=1.8 AND AvgGAL8>=1.6;901;624;277;69.26;10.42;8.54
MinOverFull>=0.7 AND MinGFL7>=1.8;631;437;194;69.26;7.3;8.54
MinGFFull>=1.8 AND MinGAL7>=1.0;1083;750;333;69.25;12.53;8.53
MinOverL7>=0.8 AND MinGAFull>=1.2;663;459;204;69.23;7.67;8.51
MinBTTSL8>=0.8 AND MinOverL7>=0.7;208;144;64;69.23;2.41;8.51
MinGFL7>=1.8 AND MinGAFull>=1.2;887;614;273;69.22;10.26;8.5
MinOverL7>=0.8 AND MinGAL7>=1.2;666;461;205;69.22;7.71;8.5
MinOverL8>=0.8 AND MinOverFull>=0.6;614;425;189;69.22;7.1;8.5
MinOverL8>=0.8 AND AvgBTTSL8>=0.6;562;389;173;69.22;6.5;8.5
MinGAL8>=1.4 AND MinGFL7>=1.2;1663;1151;512;69.21;19.24;8.49
MinOverFull>=0.7 AND AvgGAFull>=1.6;1234;854;380;69.21;14.28;8.49
AvgBTTSFull>=0.8 AND AvgGAL8>=1.6;471;326;145;69.21;5.45;8.49
MinGFL5>=1.8 AND MinBTTSL5>=0.7;471;326;145;69.21;5.45;8.49
MinGFL5>=1.8 AND MinBTTSL5>=0.8;471;326;145;69.21;5.45;8.49
MinGFFull>=1.8 AND MinBTTSL5>=0.7;354;245;109;69.21;4.1;8.49
MinGFFull>=1.8 AND MinBTTSL5>=0.8;354;245;109;69.21;4.1;8.49
MinBTTSFull>=0.7 AND AvgGAL5>=1.6;646;447;199;69.2;7.47;8.48
MinGFL7>=1.6 AND MinGAFull>=1.2;1217;842;375;69.19;14.08;8.47
MinGFFull>=1.8 AND MinOverL7>=0.6;899;622;277;69.19;10.4;8.47
MinGFFull>=1.8 AND AvgBTTSL7>=0.7;779;539;240;69.19;9.01;8.47
AvgBTTSL8>=0.7 AND MinGFL5>=1.8;714;494;220;69.19;8.26;8.47
MinOverFull>=0.7 AND MinGAL5>=1.2;1207;835;372;69.18;13.97;8.46
MinBTTSFull>=0.7 AND MinGFL5>=1.4;571;395;176;69.18;6.61;8.46
MinOverL8>=0.8 AND MinBTTSL8>=0.6;464;321;143;69.18;5.37;8.46
MinOverL5>=0.7 AND MinGFFull>=1.4;1064;736;328;69.17;12.31;8.45
MinOverL5>=0.8 AND MinGFFull>=1.4;1064;736;328;69.17;12.31;8.45
AvgBTTSFull>=0.8 AND MinGFFull>=1.2;480;332;148;69.17;5.55;8.45
AvgBTTSFull>=0.8 AND MinGAL8>=1.4;412;285;127;69.17;4.77;8.46
MinBTTSFull>=0.8 AND MinGFL7>=1.2;240;166;74;69.17;2.78;8.45
MinBTTSFull>=0.8 AND MinGAFull>=1.2;240;166;74;69.17;2.78;8.45
MinBTTSFull>=0.8 AND MinGFL8>=1.8;120;83;37;69.17;1.39;8.45
MinGFL7>=1.8 AND AvgGAL8>=1.4;1028;711;317;69.16;11.89;8.44
MinOverL8>=0.8 AND MinBTTSFull>=0.6;428;296;132;69.16;4.95;8.44
MinOverL8>=0.7 AND MinGFL7>=1.6;885;612;273;69.15;10.24;8.43
MinOverL8>=0.7 AND MinGFL7>=1.8;710;491;219;69.15;8.21;8.44
MinBTTSL8>=0.8 AND MinOverL5>=0.5;282;195;87;69.15;3.26;8.43
MinBTTSL8>=0.8 AND MinOverL5>=0.6;282;195;87;69.15;3.26;8.43
MinBTTSFull>=0.7 AND AvgGAL7>=1.4;729;504;225;69.14;8.43;8.42
MinBTTSFull>=0.7 AND AvgGAFull>=1.6;661;457;204;69.14;7.65;8.42
MinGFL5>=1.8 AND AvgGAFull>=1.4;1166;806;360;69.13;13.49;8.41
MinGFL8>=1.4 AND MinGAL7>=1.4;1344;929;415;69.12;15.55;8.4
MinOverFull>=0.7 AND AvgGAL8>=1.4;1350;933;417;69.11;15.62;8.39
MinBTTSFull>=0.7 AND MinGFL8>=1.6;450;311;139;69.11;5.21;8.39
MinGFL7>=1.4 AND AvgGAL5>=1.6;1835;1268;567;69.1;21.23;8.38
MinBTTSFull>=0.8 AND AvgGAL8>=1.6;233;161;72;69.1;2.7;8.38
MinGFL5>=1.8 AND AvgBTTSFull>=0.6;1268;876;392;69.09;14.67;8.37
MinGFL5>=1.8 AND MinBTTSFull>=0.6;854;590;264;69.09;9.88;8.37
MinBTTSFull>=0.7 AND MinGAL5>=1.2;673;465;208;69.09;7.79;8.37
MinOverL8>=0.7 AND AvgBTTSL7>=0.8;372;257;115;69.09;4.3;8.37
MinBTTSFull>=0.8 AND MinGFL7>=1.6;165;114;51;69.09;1.91;8.37
MinGFL7>=1.8 AND AvgGAFull>=1.6;747;516;231;69.08;8.64;8.36
MinGFFull>=1.6 AND AvgGAFull>=1.4;1523;1052;471;69.07;17.62;8.35
MinOverFull>=0.7 AND MinGFL8>=1.8;624;431;193;69.07;7.22;8.35
MinGFL8>=1.6 AND MinGAL7>=1.2;1296;895;401;69.06;14.99;8.34
MinOverFull>=0.7 AND AvgBTTSL7>=0.7;918;634;284;69.06;10.62;8.34
MinGFL8>=1.4 AND AvgGAL7>=1.6;1596;1102;494;69.05;18.47;8.33
MinGFFull>=1.8 AND AvgBTTSFull>=0.6;1118;772;346;69.05;12.94;8.33
MinGFL7>=1.6 AND AvgGAL5>=1.6;1118;772;346;69.05;12.94;8.33
MinGFFull>=1.8 AND MinBTTSFull>=0.6;782;540;242;69.05;9.05;8.33
AvgBTTSFull>=0.8 AND MinOverL5>=0.7;294;203;91;69.05;3.4;8.33
AvgBTTSFull>=0.8 AND MinOverL5>=0.8;294;203;91;69.05;3.4;8.33
MinBTTSFull>=0.8 AND MinGAL8>=1.4;210;145;65;69.05;2.43;8.33
MinOverFull>=0.7 AND MinGFFull>=1.2;1250;863;387;69.04;14.46;8.32
MinBTTSFull>=0.7 AND AvgGAL7>=1.6;659;455;204;69.04;7.62;8.32
MinGFL8>=1.4 AND AvgGAL5>=1.6;1695;1170;525;69.03;19.61;8.31
AvgBTTSFull>=0.7 AND MinGAL8>=1.4;1227;847;380;69.03;14.2;8.31
MinOverFull>=0.7 AND AvgBTTSL7>=0.6;1214;838;376;69.03;14.05;8.31
MinGAL7>=1.4 AND MinGFL5>=1.4;1504;1038;466;69.02;17.4;8.3
MinOverL7>=0.8 AND AvgGAFull>=1.6;652;450;202;69.02;7.54;8.3
MinOverFull>=0.7 AND MinGFL8>=1.2;1210;835;375;69.01;14.0;8.29
MinOverL5>=0.7 AND MinGFL7>=1.4;1097;757;340;69.01;12.69;8.29
MinOverL5>=0.8 AND MinGFL7>=1.4;1097;757;340;69.01;12.69;8.29
MinGFL8>=1.8 AND MinGAL5>=1.2;826;570;256;69.01;9.56;8.29
AvgBTTSFull>=0.8 AND MinGFL8>=1.4;413;285;128;69.01;4.78;8.29
AvgBTTSFull>=0.8 AND MinGFL8>=1.6;342;236;106;69.01;3.96;8.29
MinGFL7>=1.8 AND AvgGAFull>=1.4;1013;699;314;69.0;11.72;8.28
MinBTTSFull>=0.7 AND MinGFFull>=1.4;613;423;190;69.0;7.09;8.29
MinGFFull>=1.4 AND AvgGAL5>=1.6;1851;1277;574;68.99;21.42;8.27
AvgBTTSL8>=0.7 AND MinGAL5>=1.4;1319;910;409;68.99;15.26;8.27
MinGFL8>=1.6 AND MinGAL5>=1.4;1061;732;329;68.99;12.28;8.27
MinBTTSFull>=0.7 AND MinGAFull>=1.2;716;494;222;68.99;8.28;8.27
MinOverL8>=0.8 AND MinOverFull>=0.7;587;405;182;68.99;6.79;8.28
MinGFFull>=1.8 AND AvgBTTSL5>=0.8;503;347;156;68.99;5.82;8.27
MinGFFull>=1.8 AND AvgBTTSL7>=0.8;258;178;80;68.99;2.99;8.27
MinGFFull>=1.8 AND MinBTTSFull>=0.5;1154;796;358;68.98;13.35;8.26
MinBTTSFull>=0.7 AND MinOverL8>=0.5;748;516;232;68.98;8.65;8.26
MinOverL7>=0.8 AND MinGAL5>=1.2;664;458;206;68.98;7.68;8.26
MinOverL8>=0.8;619;427;192;68.98;7.16;8.26
MinOverL8>=0.8 AND MinOverL7>=0.8;619;427;192;68.98;7.16;8.26
MinOverL8>=0.8 AND MinOverL8>=0.7;619;427;192;68.98;7.16;8.26
MinOverL8>=0.8 AND MinOverL5>=0.7;619;427;192;68.98;7.16;8.26
MinOverL8>=0.8 AND MinOverL5>=0.8;619;427;192;68.98;7.16;8.26
MinOverL8>=0.8 AND MinOverL7>=0.7;619;427;192;68.98;7.16;8.26
MinOverL8>=0.8 AND MinOverL7>=0.6;619;427;192;68.98;7.16;8.26
MinOverL8>=0.8 AND MinOverL8>=0.6;619;427;192;68.98;7.16;8.26
MinOverL8>=0.8 AND MinOverL7>=0.5;619;427;192;68.98;7.16;8.26
MinOverL8>=0.8 AND MinOverL5>=0.5;619;427;192;68.98;7.16;8.26
MinOverL8>=0.8 AND MinOverL5>=0.6;619;427;192;68.98;7.16;8.26
MinOverL8>=0.8 AND MinOverL8>=0.5;619;427;192;68.98;7.16;8.26
MinOverL8>=0.8 AND MinOverL8>=0.4;619;427;192;68.98;7.16;8.26
MinOverL8>=0.8 AND MinOverFull>=0.5;619;427;192;68.98;7.16;8.26
MinOverL7>=0.8 AND AvgGAL8>=1.6;680;469;211;68.97;7.87;8.25
MinBTTSL8>=0.7 AND MinGFFull>=1.6;522;360;162;68.97;6.04;8.25
MinGFL7>=1.6 AND MinGAL5>=1.4;915;631;284;68.96;10.59;8.24
MinOverFull>=0.7 AND MinGFL8>=1.6;886;611;275;68.96;10.25;8.24
MinGFFull>=1.4 AND AvgGAL8>=1.6;1778;1226;552;68.95;20.57;8.23
MinGFFull>=1.6 AND MinBTTSL7>=0.7;686;473;213;68.95;7.94;8.23
MinGAL8>=1.4 AND MinGFL8>=1.2;1748;1205;543;68.94;20.22;8.22
AvgBTTSFull>=0.7 AND MinGAL5>=1.4;1288;888;400;68.94;14.9;8.22
AvgBTTSFull>=0.8 AND MinOverL8>=0.6;470;324;146;68.94;5.44;8.22
MinBTTSFull>=0.8 AND MinOverL8>=0.6;235;162;73;68.94;2.72;8.22
MinGAFull>=1.4 AND MinGFL5>=1.4;1455;1003;452;68.93;16.83;8.22
MinOverL8>=0.8 AND MinBTTSL8>=0.4;589;406;183;68.93;6.81;8.21
MinBTTSFull>=0.8 AND MinOverL7>=0.6;222;153;69;68.92;2.57;8.2
MinGFL8>=1.6 AND MinGAFull>=1.2;1399;964;435;68.91;16.19;8.19
MinGFL5>=1.8 AND AvgBTTSL5>=0.8;640;441;199;68.91;7.4;8.19
MinOverL8>=0.8 AND MinGFL8>=1.8;312;215;97;68.91;3.61;8.19
MinBTTSFull>=0.8 AND MinGAL8>=1.2;238;164;74;68.91;2.75;8.19
MinBTTSFull>=0.8 AND MinGAL7>=1.2;238;164;74;68.91;2.75;8.19
MinGFL8>=1.6 AND AvgGAL7>=1.6;1241;855;386;68.9;14.36;8.18
MinBTTSL8>=0.8 AND MinGFFull>=1.4;254;175;79;68.9;2.94;8.18
MinOverFull>=0.7 AND MinGFL7>=1.2;1183;815;368;68.89;13.69;8.17
MinOverFull>=0.7 AND MinGFL5>=1.2;1183;815;368;68.89;13.69;8.17
MinOverFull>=0.7 AND MinGAL7>=1.0;1356;934;422;68.88;15.69;8.16
MinOverL8>=0.7 AND MinGFL5>=1.8;768;529;239;68.88;8.89;8.16
MinOverL7>=0.8 AND AvgGAL7>=1.6;678;467;211;68.88;7.84;8.16
MinGFFull>=1.8 AND MinOverL7>=0.8;376;259;117;68.88;4.35;8.16
MinGFL7>=1.4 AND MinGAL8>=1.2;1902;1310;592;68.87;22.01;8.16
MinOverFull>=0.7 AND MinBTTSFull>=0.5;1317;907;410;68.87;15.24;8.15
MinGAFull>=1.4 AND MinGFL5>=1.6;1044;719;325;68.87;12.08;8.15
MinBTTSFull>=0.7 AND MinOverFull>=0.5;745;513;232;68.86;8.62;8.14
AvgBTTSFull>=0.8 AND MinGAL5>=1.2;472;325;147;68.86;5.46;8.14
MinGFL8>=1.4 AND AvgGAL8>=1.6;1605;1105;500;68.85;18.57;8.13
MinGFL7>=1.8 AND MinGAL5>=1.2;870;599;271;68.85;10.07;8.13
MinGFL7>=1.4 AND AvgGAL7>=1.6;1730;1191;539;68.84;20.02;8.12
MinBTTSFull>=0.7 AND AvgGAL8>=1.4;735;506;229;68.84;8.5;8.12
MinGFFull>=1.4 AND MinGAL8>=1.2;1937;1333;604;68.82;22.41;8.1
MinGFL8>=1.4 AND AvgGAFull>=1.6;1546;1064;482;68.82;17.89;8.1
AvgBTTSFull>=0.7 AND MinGAL7>=1.4;1286;885;401;68.82;14.88;8.1
MinOverFull>=0.7 AND AvgBTTSL5>=0.7;1023;704;319;68.82;11.84;8.1
MinOverFull>=0.7 AND MinBTTSFull>=0.6;975;671;304;68.82;11.28;8.1
MinBTTSFull>=0.7 AND MinOverL8>=0.7;433;298;135;68.82;5.01;8.1
AvgBTTSL8>=0.7 AND MinGAL7>=1.4;1321;909;412;68.81;15.28;8.09
MinOverL7>=0.7 AND MinGFFull>=1.6;1071;737;334;68.81;12.39;8.09
MinOverL8>=0.8 AND MinGFFull>=1.6;388;267;121;68.81;4.49;8.09
MinOverL8>=0.7 AND MinGFFull>=1.6;907;624;283;68.8;10.49;8.08
AvgBTTSFull>=0.8 AND MinGFL7>=1.2;468;322;146;68.8;5.41;8.08
MinGFL7>=1.6 AND AvgGAL8>=1.6;1083;745;338;68.79;12.53;8.07
MinGFFull>=1.8 AND MinOverL8>=0.6;1102;758;344;68.78;12.75;8.06
MinOverL8>=0.7 AND MinGFL8>=1.6;977;672;305;68.78;11.3;8.06
MinBTTSL8>=0.8 AND MinGFFull>=1.6;189;130;59;68.78;2.19;8.06
MinOverL8>=0.7 AND MinGAFull>=1.4;1140;784;356;68.77;13.19;8.05
AvgBTTSFull>=0.8 AND MinBTTSFull>=0.7;413;284;129;68.77;4.78;8.05
MinBTTSL8>=0.8 AND MinGFFull>=1.2;285;196;89;68.77;3.3;8.05
MinGFL5>=1.6 AND MinGAL8>=1.2;1450;997;453;68.76;16.78;8.04
AvgBTTSL8>=0.7 AND MinGAL8>=1.4;1255;863;392;68.76;14.52;8.05
MinGFFull>=1.8 AND MinBTTSL8>=0.5;1178;810;368;68.76;13.63;8.04
MinGFL8>=1.6 AND MinGAFull>=1.4;989;680;309;68.76;11.44;8.04
MinBTTSFull>=0.7 AND MinGFFull>=1.2;717;493;224;68.76;8.3;8.04
MinGFL5>=1.6 AND MinGAFull>=1.2;1504;1034;470;68.75;17.4;8.03
MinGFFull>=1.6 AND MinBTTSL5>=0.7;528;363;165;68.75;6.11;8.03
MinGFFull>=1.6 AND MinBTTSL5>=0.8;528;363;165;68.75;6.11;8.03
AvgBTTSFull>=0.8 AND AvgGAL7>=1.4;512;352;160;68.75;5.92;8.03
AvgBTTSFull>=0.8 AND MinBTTSL8>=0.7;400;275;125;68.75;4.63;8.03
MinGFFull>=1.4 AND MinGAL7>=1.2;1846;1269;577;68.74;21.36;8.02
MinGAL8>=1.4 AND MinGFFull>=1.2;1833;1260;573;68.74;21.21;8.02
MinGFFull>=1.4 AND AvgGAFull>=1.6;1721;1183;538;68.74;19.91;8.02
MinOverFull>=0.7 AND AvgGAFull>=1.4;1388;954;434;68.73;16.06;8.01
MinOverFull>=0.7 AND MinOverL5>=0.7;1001;688;313;68.73;11.58;8.01
MinOverFull>=0.7 AND MinOverL5>=0.8;1001;688;313;68.73;11.58;8.01
AvgBTTSFull>=0.8 AND MinGFL5>=1.0;518;356;162;68.73;5.99;8.01
MinOverL8>=0.7 AND AvgBTTSL5>=0.8;697;479;218;68.72;8.06;8.0
MinGFL7>=1.6 AND AvgGAFull>=1.6;1029;707;322;68.71;11.91;7.99
AvgBTTSFull>=0.8 AND MinOverL7>=0.6;425;292;133;68.71;4.92;7.99
MinBTTSL8>=0.8 AND AvgGAL7>=1.6;278;191;87;68.71;3.22;7.99
MinOverL8>=0.7 AND MinGFFull>=1.4;1182;812;370;68.7;13.68;7.98
MinGFL8>=1.8 AND AvgBTTSFull>=0.6;1096;753;343;68.7;12.68;7.98
AvgBTTSFull>=0.8 AND MinOverL8>=0.5;511;351;160;68.69;5.91;7.97
AvgBTTSFull>=0.8 AND MinOverFull>=0.5;511;351;160;68.69;5.91;7.97
MinGFL5>=1.6 AND MinGAL7>=1.2;1373;943;430;68.68;15.89;7.96
MinGFFull>=1.8 AND MinOverL5>=0.5;1175;807;368;68.68;13.59;7.96
MinGFFull>=1.8 AND MinOverL5>=0.6;1175;807;368;68.68;13.59;7.96
MinBTTSFull>=0.7 AND MinOverL8>=0.4;779;535;244;68.68;9.01;7.96
MinGFFull>=1.8 AND AvgBTTSL7>=0.6;1079;741;338;68.67;12.48;7.96
AvgBTTSL8>=0.8 AND MinGAL7>=1.4;648;445;203;68.67;7.5;7.95
AvgBTTSFull>=0.8 AND MinGFL7>=1.4;415;285;130;68.67;4.8;7.96
MinBTTSFull>=0.8 AND MinOverL8>=0.5;249;171;78;68.67;2.88;7.96
MinBTTSFull>=0.8 AND MinOverFull>=0.5;249;171;78;68.67;2.88;7.96
MinGFL8>=1.4 AND MinGAL8>=1.2;1755;1205;550;68.66;20.31;7.94
MinOverFull>=0.7 AND AvgBTTSL5>=0.6;1318;905;413;68.66;15.25;7.94
MinOverL8>=0.7 AND MinGAL5>=1.4;1168;802;366;68.66;13.51;7.94
MinGAFull>=1.4 AND MinGFL7>=1.2;1786;1226;560;68.65;20.66;7.93
AvgBTTSFull>=0.8 AND MinBTTSL7>=0.7;421;289;132;68.65;4.87;7.93
MinOverFull>=0.7 AND MinBTTSL7>=0.6;727;499;228;68.64;8.41;7.92
MinBTTSFull>=0.7 AND AvgBTTSL5>=0.8;574;394;180;68.64;6.64;7.92
MinOverL7>=0.8 AND MinBTTSL7>=0.7;389;267;122;68.64;4.5;7.92
MinBTTSL8>=0.8 AND MinGAL5>=1.4;255;175;80;68.63;2.95;7.91
MinGFL8>=1.4 AND MinGAL5>=1.4;1364;936;428;68.62;15.78;7.9
MinGFL7>=1.4 AND MinGAFull>=1.2;1969;1351;618;68.61;22.78;7.89
MinGAFull>=1.4 AND MinGFL8>=1.4;1287;883;404;68.61;14.89;7.89
MinBTTSFull>=0.7 AND MinGAL7>=1.0;771;529;242;68.61;8.92;7.89
MinOverL7>=0.8 AND MinGFL5>=1.4;599;411;188;68.61;6.93;7.89
MinBTTSL8>=0.8 AND MinOverFull>=0.6;274;188;86;68.61;3.17;7.89
MinBTTSL8>=0.8 AND AvgGAL5>=1.6;274;188;86;68.61;3.17;7.89
MinBTTSL8>=0.8 AND AvgGAFull>=1.6;274;188;86;68.61;3.17;7.89
MinGFL7>=1.4 AND MinGAL7>=1.2;1812;1243;569;68.6;20.96;7.88
MinOverFull>=0.7 AND AvgBTTSL8>=0.6;1261;865;396;68.6;14.59;7.88
MinOverL8>=0.7 AND MinGFL8>=1.8;691;474;217;68.6;7.99;7.88
MinOverL8>=0.7 AND MinBTTSL5>=0.7;500;343;157;68.6;5.79;7.88
MinOverL8>=0.7 AND MinBTTSL5>=0.8;500;343;157;68.6;5.79;7.88
MinGFL5>=1.4 AND MinGAL5>=1.4;1560;1070;490;68.59;18.05;7.87
AvgBTTSFull>=0.8 AND MinOverL7>=0.5;503;345;158;68.59;5.82;7.87
MinOverFull>=0.7 AND MinBTTSL7>=0.5;1184;812;372;68.58;13.7;7.86
MinGFL8>=1.6 AND AvgGAL8>=1.6;1244;853;391;68.57;14.39;7.85
MinBTTSFull>=0.7 AND MinGFL5>=1.2;665;456;209;68.57;7.69;7.85
MinOverFull>=0.7 AND MinOverL7>=0.7;1320;905;415;68.56;15.27;7.84
MinOverFull>=0.7 AND MinOverL7>=0.6;1320;905;415;68.56;15.27;7.84
MinOverL8>=0.7 AND MinGAL7>=1.4;1177;807;370;68.56;13.62;7.84
MinGFL5>=1.8 AND AvgBTTSFull>=0.7;687;471;216;68.56;7.95;7.84
MinGFL8>=1.6 AND AvgGAL7>=1.4;1609;1103;506;68.55;18.62;7.83
AvgBTTSFull>=0.7 AND AvgGAL7>=1.6;1472;1009;463;68.55;17.03;7.83
AvgBTTSL8>=0.7 AND MinGFFull>=1.6;925;634;291;68.54;10.7;7.82
AvgBTTSFull>=0.8 AND AvgGAFull>=1.4;515;353;162;68.54;5.96;7.82
MinGAL7>=1.4 AND MinGFL7>=1.2;1843;1263;580;68.53;21.32;7.81
MinGFFull>=1.8 AND MinBTTSL7>=0.5;1039;712;327;68.53;12.02;7.81
AvgBTTSFull>=0.8 AND AvgBTTSL5>=0.7;537;368;169;68.53;6.21;7.81
MinGFL5>=1.8 AND AvgBTTSL7>=0.8;286;196;90;68.53;3.31;7.81
MinGFL7>=1.4 AND AvgGAFull>=1.6;1690;1158;532;68.52;19.55;7.8
MinGFL5>=1.6 AND AvgGAL5>=1.6;1382;947;435;68.52;15.99;7.8
MinGFFull>=1.8 AND MinOverL8>=0.5;1347;923;424;68.52;15.58;7.8
MinOverFull>=0.7 AND MinGFL5>=1.0;1312;899;413;68.52;15.18;7.8
MinGFFull>=1.6 AND AvgBTTSFull>=0.7;953;653;300;68.52;11.03;7.8
MinOverL7>=0.8 AND AvgGAL5>=1.6;683;468;215;68.52;7.9;7.8
MinGFFull>=1.6 AND AvgBTTSL5>=0.8;740;507;233;68.51;8.56;7.79
